id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio,180,180_cambio
1007,13,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0
1015,13.8,13.8,0,13.8,0,13.8,0,13.8,0,13.8,0,13.8,0,13.8,0,13.8,0
1023,13,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0
1031,13,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0
1082,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1090,22.5,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,,
1104,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1112,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1120,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1139,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1155,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1163,25,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0
1198,49.9,49.9,0,49.9,0,49.9,0,49.9,0,49.9,0,49.9,0,49.9,0,49.9,0
1557,27.6,27.6,0,27.6,0,27.6,0,,,,,,,,,27.5,0.00364
1606,49.5,49.5,0,49.5,0,49.5,0,49.5,0,39.5,0.253,39.5,0.253,39.5,0.253,,
1610,,,,,,,,,,,,,,,,,
1618,,,,,,,,,,,,,,,,,
1621,38,38,0,38,0,38,0,38,0,38,0,38,0,38,0,,
1623,38,38,0,38,0,38,0,38,0,38,0,38,0,38,0,,
1624,,,,,,,,,,,,,,,,,
1625,,,,,,,,,,,,,,,,,
1626,6.5,6.5,0,6.5,0,6.5,0,6.5,0,6,0.0833,6,0.0833,6,0.0833,6.2,0.0484
1628,6.5,6.5,0,6.5,0,6.5,0,6.5,0,6.2,0.0484,,,6.2,0.0484,6.2,0.0484
1629,19.5,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0
1644,136,136,0,136,0,136,0,136,0,136,0,136,0,,,120,0.133
1655,,,,,,,,,,,,,,,,,
1656,,,,,,,,,,,,,,,,,
1657,,,,,,,,,,,,,,,,,
1659,11.8,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0
1661,11.8,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0
1668,,,,,,,,,,,,,,,,,
1705,,,,,,,,,,,,,,,,,
1714,15.5,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0
1715,15.5,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0
1717,,,,,,,,,,,,,,,,,
1718,,,,,,,,,,,,,,,,,
1719,,,,,,,,,,,,,,,,,
1731,13.7,13.7,0,13.7,0,13.7,0,13.7,0,11.5,0.191,10.5,0.305,10.5,0.305,10.2,0.343
1734,,,,,,,,,,,,,,,,,
1746,7.7,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0
1747,22,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0
1751,,,,,,,,,,,,,,,,,
1756,,,,,,,,,,,,,,,,,
1758,18,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0
1767,,,,,,,,,,,,,,,,,
1779,,,,,,,,,,,,,,,,,
1792,,,,,,,,,,,,,,,,,
1795,32.5,32.5,0,32.5,0,32.5,0,32.5,0,25,0.3,25,0.3,25,0.3,22.5,0.444
1799,130,130,0,130,0,130,0,130,0,130,0,130,0,130,0,117,0.111
1800,64,64,0,64,0,64,0,64,0,64,0,64,0,64,0,59,0.0847
1801,14,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0
1825,66,66,0,66,0,66,0,66,0,66,0,66,0,66,0,62.9,0.0493
1831,13.5,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0
1832,19,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0
1833,19,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0
1834,19,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0
