id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio
1007,13,13,0,13,0,13,0,13,0,13,0,13,0,13,0
1015,,,,,,,,,,,,,,,
1023,13,13,0,13,0,13,0,13,0,13,0,13,0,13,0
1031,13,13,0,13,0,13,0,13,0,13,0,13,0,13,0
1040,13,13,0,13,0,13,0,13,0,13,0,13,0,13,0
1058,13,13,0,13,0,13,0,13,0,13,0,13,0,13,0
1074,13,13,0,13,0,13,0,13,0,13,0,13,0,13,0
1082,22,22,0,22,0,22,0,22,0,22,0,22,0,22,0
1090,22,22,0,22,0,22,0,22,0,22,0,22,0,22,0
1104,22,22,0,22,0,22,0,22,0,22,0,22,0,22,0
1112,22,22,0,22,0,22,0,22,0,22,0,22,0,22,0
1120,22,22,0,22,0,22,0,22,0,22,0,22,0,22,0
1139,22,22,0,22,0,22,0,22,0,22,0,22,0,22,0
1155,22,22,0,22,0,22,0,22,0,22,0,22,0,22,0
1163,25,25,0,25,0,25,0,25,0,25,0,25,0,25,0
1557,,,,,,,,,,,,,,,
1605,5.2,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0
1618,,,,,,,,,,,,,,,
1621,36.5,36.5,0,36.5,0,36.5,0,36.5,0,36.5,0,,,,
1623,,,,,,,,,,,,,,,
1626,6,6,0,6,0,6,0,6,0,6,0,6,0,6,0
1628,6,6,0,6,0,6,0,6,0,6,0,6,0,6,0
1629,19.5,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0
1644,113,113,0,113,0,113,0,113,0,113,0,113,0,113,0
1655,7.7,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0
1656,7.3,7.3,0,7.3,0,7.3,0,7.3,0,7.3,0,7.3,0,7.3,0
1659,11.7,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0
1661,11.7,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0
1672,,,,,,,,,,,,,,,
1673,,,,,,,,,,,,,,,
1674,9.3,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0
1675,9.3,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0
1713,63.5,63.5,0,63.5,0,63.5,0,63.5,0,63.5,0,63.5,0,63.5,0
1714,15,15,0,15,0,15,0,15,0,15,0,15,0,15,0
1715,15,15,0,15,0,15,0,15,0,15,0,15,0,15,0
1717,48.5,48.5,0,48.5,0,48.5,0,48.5,0,48.5,0,48.5,0,48.5,0
1718,60,60,0,60,0,60,0,60,0,60,0,60,0,60,0
1719,46.5,46.5,0,46.5,0,46.5,0,46.5,0,46.5,0,46.5,0,46.5,0
1730,15,15,0,15,0,15,0,15,0,15,0,15,0,15,0
1731,10.2,10.2,0,10.2,0,10.2,0,10.2,0,10.2,0,10,0.02,10,0.02
1734,51.5,51.5,0,50,0.03,50,0.03,50,0.03,50,0.03,50,0.03,50,0.03
1743,,,,,,,,,,,,,,,
1746,7.7,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0
1747,21,21,0,21,0,21,0,21,0,21,0,21,0,21,0
1751,50,50,0,50,0,50,0,50,0,50,0,50,0,50,0
1756,32.5,32.5,0,32.5,0,32.5,0,32.5,0,32.5,0,32.5,0,32.5,0
1758,16,16,0,16,0,16,0,16,0,16,0,16,0,16,0
1779,17.5,17.5,0,17.5,0,17.5,0,17.5,0,17.5,0,17.5,0,17.5,0
1801,12.8,12.8,0,12.8,0,12.8,0,12.8,0,12.8,0,12.8,0,12.8,0
1802,41,41,0,41,0,41,0,41,0,41,0,41,0,41,0
1820,,,,,,,,,,,,,,,
1825,60,60,0,60,0,60,0,60,0,60,0,60,0,,
1831,,,,,,,,,,,,,,,
1832,,,,,,,,,,,,,,,
1833,,,,,,,,,,,,,,,
1844,12,12,0,12,0,12,0,12,0,12,0,12,0,12,0
1849,,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,
1863,8,8,0,8,0,8,0,8,0,8,0,8,0,8,0
1864,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0
1867,246,246,0,246,0,246,0,246,0,246,0,246,0,246,0
1872,24,24,0,24,0,24,0,24,0,24,0,24,0,24,0
1883,80.5,80.5,0,,,80.5,0,80.5,0,80.5,0,,,,
1887,49.5,49.5,0,49.5,0,49.5,0,49.5,0,49.5,0,49.5,0,49.5,0
