id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio,180,180_cambio
1082,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1090,,,,,,,,,,,,,,,,,
1104,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1112,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1120,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1139,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1155,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1163,25,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0
1557,27.5,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0
1606,39.5,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,,
1614,,,,,,,,,,,,,,,,,
1617,,,,,,,,,,,,,,,,,
1618,,,,,,,,,,,,,,,,,
1621,38,38,0,38,0,38,0,38,0,38,0,38,0,38,0,36.9,0.0298
1623,38,38,0,38,0,38,0,38,0,38,0,38,0,38,0,36.9,0.0298
1624,,,,,,,,,,,,,,,,,
1625,,,,,,,,,,,,,,,,,
1626,6,6,0,6,0,6,0,6,0,6,0,6,0,6,0,5.7,0.0526
1628,6.2,6.2,0,6.2,0,6.2,0,6.2,0,6.2,0,6.2,0,6.2,0,5.7,0.0877
1629,,,,,,,,,,,,,,,,,
1655,,,,,,,,,,,,,,,,,
1656,7.5,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7,0.0714
1657,7.5,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7,0.0714
1659,11.8,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0
1661,11.8,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0
1705,,,,,,,,,,,,,,,,,
1713,69,69,0,69,0,69,0,69,0,69,0,,,,,57,0.211
1714,15.5,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0
1715,15.5,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0
1718,,,,,,,,,,,,,,,,,
1719,,,,,,,,,,,,,,,,,
