id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio,180,180_cambio
1007,15,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154
1015,15.5,15.5,0,15.5,0,15.5,0,15.5,0,13,0.192,13,0.192,13,0.192,10.6,0.462
1023,15,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154
1031,15,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154
1040,15,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154
1058,15,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154,13,0.154,13,0.154
1074,15,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154
1082,27,27,0,27,0,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227
1090,28,28,0,28,0,28,0,28,0,22,0.273,22,0.273,22,0.273,22,0.273
1104,27,27,0,27,0,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227
1112,27,27,0,27,0,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227
1120,27,27,0,27,0,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227
1139,27,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227,22,0.227,22,0.227
1155,27,27,0,27,0,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227
1163,28,28,0,28,0,28,0,28,0,25,0.12,25,0.12,25,0.12,25,0.12
1557,26.8,26.8,0,26.8,0,26.8,0,26.8,0,26.8,0,26.8,0,26.8,0,26.8,0
1605,5.2,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0
1618,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
1621,37.5,37.5,0,37.5,0,37.5,0,37.5,0,36.5,0.0274,36.5,0.0274,36.5,0.0274,36.5,0.0274
1623,26,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0
1626,7.5,7.5,0,7.5,0,6.5,0.154,6.5,0.154,6.5,0.154,6.5,0.154,6,0.25,6,0.25
1628,7.5,7.5,0,7.5,0,6.5,0.154,6.5,0.154,6.5,0.154,6.5,0.154,6,0.25,6,0.25
1629,25.5,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,19.5,0.308,19.5,0.308,19.5,0.308
1644,128,128,0,128,0,128,0,128,0,128,0,128,0,128,0,113,0.133
1655,12.5,12.5,0,12.5,0,12.5,0,12.5,0,10,0.25,8.3,0.506,7.7,0.623,7.7,0.623
1656,12.5,12.5,0,12.5,0,12.5,0,12.5,0,10,0.25,8.3,0.506,7.3,0.712,7.3,0.712
1659,12.5,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,11.8,0.0593,11.8,0.0593,11.7,0.0684
1661,13,13,0,13,0,13,0,13,0,13,0,11.7,0.111,11.7,0.111,11.7,0.111
