id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio
1082,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1090,22.5,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0
1104,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1112,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1120,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1139,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1155,21.9,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0
1163,25,25,0,25,0,25,0,25,0,25,0,25,0,25,0
1557,27.5,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0
1606,39.5,39.5,0,39.5,0,,,,,,,,,,
1614,,,,,,,,,,,,,,,
1617,,,,,,,,,,,,,,,
1618,,,,,,,,,,,,,,,
1621,38,38,0,38,0,38,0,,,,,,,27.5,0.382
1623,38,38,0,38,0,38,0,,,,,,,27.5,0.382
1624,23.6,23.6,0,23.6,0,23.6,0,23.6,0,23.6,0,23.6,0,23.6,0
1625,23.6,23.6,0,23.6,0,23.6,0,23.6,0,23.6,0,23.6,0,23.6,0
1626,6,6,0,6,0,6,0,6,0,4.9,0.224,6.2,-0.0323,5.7,0.0526
1628,6.2,6.2,0,6.2,0,6.2,0,6.2,0,6.2,0,6.2,0,5.7,0.0877
1629,19.5,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0,19,0.0263
1655,7.7,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.5,0.0267
1656,7.5,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7,0.0714
1657,7.5,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7,0.0714
1659,11.8,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0
